recid1,recid,kdstrata,kdorgan,kdloc,kdtk,nama,almt,kota,rt,rw,telp,telp_1,telp_2,telp_3,fax_1,fax_2,fax_3,kode_pos,gate,comp,luas,buka,mode,type_toko,fot,type_harga,type_rak,ls_tanah,ls_jual,ls_disp,ls_gudang,pkp,npwp,skp,tglskp,tutup,kirim,gudang,kont_awal,kont_akhir,cnt_hal,cnt_lt,coc,coc_tiang,end_gond,jmlrak,fldisp,freegdl,prplprm,prmarea,sewa,kurs,umur,namafrc,markup,kpp,personil,ka_toko,as_toko,merchan01,merchan02,merchan03,merchan04,kasir01,kasir02,kasir03,kasir04,kasir05,kasir06,pramu01,pramu02,pramu03,pramu04,pramu05,pramu06,pramu07,pramu08,pramu09,pramu10,pramu11,pramu12,fr_max_cr,fr_begbal,fr_credit,fr_ppn,fr_pay,fr_ppn1,fr_d_cr,fr_d_pay,update,toko,npb,bpb,badan,royal_1,royal_1p,royal_2,royal_2p,royal_3,royal_3p,royal_4,royal_4p,buah,tgl_pkm,jml_km,elpiji,kdlm,trf,upd_dho,upd_dec,upd_aac,fdisp,trf_ho,oto,kdbr,berlaku,compete,npwp_dc,tgl_dc,almt_pjk1,almt_pjk2,almt_pjk3,kode_cid,kd_frc,nppkp,mrchnt,tok24,conv,berlaku_hrg,berlaku_cid,jadwal_conv,flagtoko,hari24,imobile,apka,tidak_hitung_pb,jenis_toko,class_tk,subclass_tk,tgl_aktif_mstore,koneksi_primary,koneksi_secondary,tanggal_primary,tanggal_secondary,domain,dual_screen,start_tgl_berlaku_se,end_tgl_berlaku_se,flag_libur_rutin,jam_buka,jam_tutup,point_cafe,event,periode_awal,periode_akhir,tgl_buka_pointcafe,tgl_tutup_pointcafe,tgl_dis05,kabupaten,setor_bank,nama_bank1,tgl_awal_bank1,tgl_akhir_bank1,nama_bank2,tgl_awal_bank2,tgl_akhir_bank2,tok_perda,tok_tgl_awal_perda,tok_tgl_akhir_perda,tok_pointcaffee_app,tok_drive_thru,almt_toko,almt_pajak,tok_pt_bip,flagtk,markup_igr,tgl_multirates
"","","1131"," "," ","FTPQ","SPBU BOJONG - TANGERANG","KP.SELIONG RT.003 RW.001 KEL.BOJONG RENGED KEC.TELUK NAGA"," ","","","","22293982"," "," "," "," "," ","","","2","184","2012-04-20","1","H","1","1","H","184.28","","118.01","48","Y","31.482.012.7-418.000","31.482.012.7-418.000","2008-03-12","","G026","","","","","","","","","","","","","","","1","","CV.ALDIRA PERKASA","2","P418","20","2012060172","2013004342","2013134842","2013036616","2013085685","2012057917","2013101386","2012050281","2013015131","2013153313","2015021318","2013091096","2013030272","2013080449","2012083284","2013011821","2015018683","2013211295"," "," "," "," "," "," ","","","","","","","","","2022-08-19","FTPQ","","","F","","","","","","","","","  X X X","2012-04-20","41","  X X X","","","","2020-08-05","","2","","N","","2012-04-20"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C1003","31.482.012.7-418.000","","N","NC","2012-04-20","2012-04-20","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","TANGERANG","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
"","","1131"," "," ","FTUZ","TOMANG BARU SQUARE","JL. RAYA VILA TOMANG BARU RT. 02 RW. 13   KEL. GELAMJAYA KEC.PASAR KEMIS"," ","","","","59304734"," "," "," "," "," ","","","2","78","2012-08-11","1","C","1","1","C","78.43","","78.43","14.73","Y","02.155.488.6-418.001","02.155.488.6-418.001","2008-05-28","","G026","","","","","","","","","","","","","","","1","","PT. MARTINDO PRIMA","2","P418","20","2012098919","2013030147","2013039407","2012078816","2013024452","2013063459","2012077773","2015002202"," "," "," "," ","2012057880","2013079289","2013186211","2013202102","2013087586","2013211096","2015012276","2013216596"," "," "," "," ","","","","","","","","","2022-08-19","FTUZ","","","F","","","","","","","","","  X X X","2012-08-11","9"," X X X ","","","","2020-07-03","","2","","N","","2012-08-11"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C6009","02.155.488.6-418.001","","N","NC","2012-08-11","2012-08-11","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","TANGERANG","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
"","","1131"," "," ","FTY7","RAYA TOBAT - TANGERANG","JL. RAYA SENTUL JAYA KP.POS NO. RT.010    RW.004 KEL. SENTUL JAYA KEC. BALARAJA"," ","","","","59451382"," "," "," "," "," ","","","2","145","2015-02-17","1","H","1","1","H","227.14","","115.06","53.20","Y","71.715.957.8-451.000","71.715.957.8-451.000","2015-02-07","","G026","","","","","","","","","","","","","","","1","","CV.AGUNG MORO SENENG","2","P451","6","2012077894","2012052925","2013096127"," "," "," ","2013232783"," "," "," "," "," ","2013179127","2013165315"," "," "," "," "," "," "," "," "," "," ","","","","","","","","","2022-08-19","FTY7","","","F","","","","","","","",""," X X X ","2015-02-17","20","       ","","","","2020-08-05","","2","","N","","2015-02-07"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C8350","71.715.957.8-451.000","","N","NC","2015-02-07","2015-02-07","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","TANGERANG","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
"","","1131"," "," ","FU9P","RASUNA SAID PAKOJAN","JL. RASUNA SAID RT. 001 RW. 004 KEL. PAKOJAN KEC. PINANG KOTA. TANGERANG","TANGERANG","","","","5544351"," "," "," "," "," ","","","2","161","2017-02-10","1","H","1","1","H","226.23","","98.87","39.56","Y","76.419.366.0-416.001","76.419.366.0-416.001","2017-01-31","","G026","","","","","","","","","","","","","","","1","","CV. REZEKI MAKMUR","2","P416","6"," ","2013061137","2013102359"," "," "," ","2013227719","2013149588"," "," "," "," ","2013227361","2013219741"," "," "," "," "," "," "," "," "," "," ","","","","","","","","","2022-08-19","FU9P","","","T","","","","","","","","","  X X X","2017-02-10","29","       ","","","","2020-07-28","","2","","N","","2020-06-04"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C6963","76.419.366.0-416.001","","N","NC","2020-06-04","2020-06-04","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
"","","1131"," "," ","FUIJ","SPBU KALIBARU - TANGERANG","JL RAYA KALIBARU RT.001 RW. 006 KEL. PANGKALAN KEC. TELUK NAGA"," ","","",""," "," "," "," "," "," ","","","2","124","2020-01-26","1","H","1","1","H","134.91","","97.12","19.05","Y","93.072.219.4-418.001","93.072.219.4-418.001","2019-12-13","","G026","","","","","","","","","","","","","","","1","","PT. JASA BOGA ADHIRASA","2","P418","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","","","","","","","","2022-08-19","FUIJ","","","T","","","","","","","","","  X X X","2020-01-26","","       ","","","","2020-08-05","","2","","N","","2019-12-13"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C2148","93.072.219.4-418.001","","N","NC","2019-12-13","2019-12-13","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","TANGERANG","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
"","","1131"," "," ","FUNW","GRIYA CITRA PERMAI - TANGERA","JL. RAYA KRESEK KP. PASIR AL AMIN RT. 005 RW. 002 KEL. KRESEK KEC. KRESEK"," ","","","","59380192"," "," "," "," "," ","","","2","180","2018-09-01","1","H","1","2","H","263","","105.52","50.50","Y","85.666.404.0-451.000","85.666.404.0-451.000","2018-08-23","","G026","","","","","","","","","","","","","","","1","","CV. SEJAHTERA GEMAH RIPAH","2","P451","15","2012062728","2012095225","2013123148"," "," "," ","2013034767","2013180318","2015035621","2012060032","2013088718","2013234093","2013077769","2013055099","2013155663","2013202550","2013124698"," "," "," "," "," "," "," ","","","","","","","","","2022-08-19","FUNW","","","T","","","","","","","",""," X X X ","2018-09-01","44","       ","TKHC","","","2020-08-06","","2","","N","","2014-03-07"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C1432","85.666.404.0-451.000","","N","NC","2014-03-07","2014-03-07","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","TANGERANG","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
"","","1131"," "," ","FUQ5","KADU PASIR RANDU - TANGERANG","JL. BITUNG - PASIRANDU RT. 005 RW. 002    KEL. KADU KEC. CURUG"," ","","","","5988538"," "," "," "," "," ","","","2","186","2017-12-01","1","H","1","1","H","325","","117.86","50.05","Y","83.294.318.7-452.000","83.294.318.7-452.000","2017-11-30","","G026","","","","","","","","","","","","","","","1","","CV. BITUNG JAYA LESTARI","2","P452","16","2013072329"," ","2013044497"," "," "," ","2013177057","2013163901","2013086542","2013211110","2013069932","2013072202","2013147073","2013117876","2013162061","2013199968","2013153535","2013068719"," "," "," "," "," "," ","","","","","","","","","2022-08-19","FUQ5","","","F","","","","","","","",""," X X X ","2017-12-01","8","       ","TYTA","","","2020-08-06","","2","","N","","2014-09-11"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C6987","83.294.318.7-452.000","","N","NC","2014-09-11","2014-09-11","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","TANGERANG","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
"","","1131"," "," ","FVCL","SPBU PASIR GADUNG - TANGERAN","JL. RAYA SERANG KM. 14                    KEL. PASIR GADUNG KEC. CIKUPA"," ","","","","59404944"," "," "," "," "," ","","","2","233","2015-10-31","1","H","1","1","H","303.51","","124.76","71.52","Y","73.751.868.8-451.000","73.751.868.8-451.000","2015-09-21","","G026","","","","","","","","","","","","","","","1","","CV. MEGA JAYA INVESTINDO","2","P451","10","2012062642","2012055524","2013106604"," "," "," ","2013136203","2013220688","2013153544"," "," "," ","2013203160","2013132033","2013129125"," "," "," "," "," "," "," "," "," ","","","","","","","","","2022-08-19","FVCL","","","F","","","","","","","",""," X X X ","2015-10-31","13","       ","","","","2020-08-05","","2","","N","","2020-06-04"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C8091","73.751.868.8-451.000","","N","NC","2020-06-04","2020-06-04","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","TANGERANG","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
"","","1131"," "," ","FW74","GRAND DUTA - TANGERANG","RUKO GRAND DUTA BLOK.JA-10 NO.11          KEL. GEBANG RAYA KEC. PERIUK","TANGERANG","","","","081318390474"," "," "," "," "," ","","","2","128","2013-11-28","1","H","1","2","H","143.17","","102.41","133.15","Y","31.765.470.5-402.000","31.765.470.5-402.000","2013-11-15","","G026","","","","","","","","","","","","","","","1","","CV.INDO DUTA","2","P402","13","2005006506","2012084618","2013038817","2013076895","2012085231","2013022246","2013043864","2013098082"," "," "," "," ","2013036180","2015028725","2015023640","2013079282"," "," "," "," "," "," "," "," ","","","","","","","","","2022-08-19","FW74","","","F","","","","","","","",""," X X X ","2013-11-28","14","       ","","","","2020-08-06","","2","","N","","2013-11-28"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C3102","31.765.470.5-402.000","","N","NC","2013-11-28","2013-11-28","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
"","","1131"," "," ","FWEN","PASIR GINTUNG - TANGERANG","KP. GINTUNG RT. 007 RW. 002 KEL. PASIR GINTUNG KEC. JAYANTI"," ","","","","085779560733"," "," "," "," "," ","","","2","151","2019-04-25","1","H","1","1","H","240.26","","120","44.38","Y","90.845.953.0-451.000","90.845.953.0-451.000","2019-03-19","","G026","","","","","","","","","","","","","","","1","","CV. DESFIR MAJU BERKAH","2","P451","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","","","","","","","","2022-08-19","FWEN","","","T","","","","","","","",""," X X X ","2019-04-25","","       ","","","","2020-08-05","","2","","N","","2020-06-04"," ","01.337.994.6-092.000","2022-09-19","","","","XXX","C2410","90.845.953.0-451.000","","N","NC","2020-06-04","2020-06-04","","","","","","","","","","","","","","","","","","","","07:00","22:00","","","","","","","2020-09-01","TANGERANG","","","","","","","","","","","","","#","","","SMN=15000, SMX=70000","","2022-09-14"
