TAT_ID|KD_TOKO_PENGIRIM|KD_TOKO_PENERIMA
5869/TAT/HO/09/2022|TI4C|TUGZ
5869/TAT/HO/09/2022|TI4C|F763
5869/TAT/HO/09/2022|TI4C|TV6J
5869/TAT/HO/09/2022|TI4C|F799
5869/TAT/HO/09/2022|TI4C|F800
5869/TAT/HO/09/2022|TI4C|TLDB
5869/TAT/HO/09/2022|TI4C|T8MS
5869/TAT/HO/09/2022|TI4C|TR80
5869/TAT/HO/09/2022|TI4C|TC07
5869/TAT/HO/09/2022|TI4C|TC08
5869/TAT/HO/09/2022|TI4C|F37L
5869/TAT/HO/09/2022|TI4C|TAV9
5869/TAT/HO/09/2022|TI4C|TC11
5869/TAT/HO/09/2022|TI4C|TC17
5869/TAT/HO/09/2022|TI4C|TC26
5869/TAT/HO/09/2022|TI4C|TC28
5869/TAT/HO/09/2022|TI4C|TC32
5869/TAT/HO/09/2022|TI4C|TORT
5869/TAT/HO/09/2022|TI4C|TTNG
5869/TAT/HO/09/2022|TI4C|TQ1C
5869/TAT/HO/09/2022|TI4C|TC35
5869/TAT/HO/09/2022|TI4C|TC36
5869/TAT/HO/09/2022|TI4C|TC39
5869/TAT/HO/09/2022|TI4C|FL12
5869/TAT/HO/09/2022|TI4C|TC50
5869/TAT/HO/09/2022|TI4C|TC57
5869/TAT/HO/09/2022|TI4C|TC59
5869/TAT/HO/09/2022|TI4C|TC60
5869/TAT/HO/09/2022|TI4C|TC63
5869/TAT/HO/09/2022|TI4C|TC71
5869/TAT/HO/09/2022|TI4C|TC73
5869/TAT/HO/09/2022|TI4C|F87L
5869/TAT/HO/09/2022|TI4C|TC77
5869/TAT/HO/09/2022|TI4C|F75L
5869/TAT/HO/09/2022|TI4C|F18U
5869/TAT/HO/09/2022|TI4C|TC87
5869/TAT/HO/09/2022|TI4C|TC94
5869/TAT/HO/09/2022|TI4C|R087
5869/TAT/HO/09/2022|TI4C|TC97
5869/TAT/HO/09/2022|TI4C|F77A
5869/TAT/HO/09/2022|TI4C|F87A
5869/TAT/HO/09/2022|TI4C|TU0U
5869/TAT/HO/09/2022|TI4C|T0C4
5869/TAT/HO/09/2022|TI4C|T06C
5869/TAT/HO/09/2022|TI4C|T11C
5869/TAT/HO/09/2022|TI4C|T98C
5869/TAT/HO/09/2022|TI4C|TPT2
5869/TAT/HO/09/2022|TI4C|TPA9
5869/TAT/HO/09/2022|TI4C|FE26
5869/TAT/HO/09/2022|TI4C|FE27
5869/TAT/HO/09/2022|TI4C|TK02
5869/TAT/HO/09/2022|TI4C|TK04
5869/TAT/HO/09/2022|TI4C|TK05
5869/TAT/HO/09/2022|TI4C|T02K
5869/TAT/HO/09/2022|TI4C|TK00
5869/TAT/HO/09/2022|TI4C|TA3P
5869/TAT/HO/09/2022|TI4C|TFVH
5869/TAT/HO/09/2022|TI4C|T15K
5869/TAT/HO/09/2022|TI4C|T17K
5869/TAT/HO/09/2022|TI4C|T18K
5869/TAT/HO/09/2022|TI4C|T26K
5869/TAT/HO/09/2022|TI4C|T27K
5869/TAT/HO/09/2022|TI4C|T28K
5869/TAT/HO/09/2022|TI4C|T37K
5869/TAT/HO/09/2022|TI4C|T38K
5869/TAT/HO/09/2022|TI4C|TE5C
5869/TAT/HO/09/2022|TI4C|R104
5869/TAT/HO/09/2022|TI4C|TE9C
5869/TAT/HO/09/2022|TI4C|TWDS
5869/TAT/HO/09/2022|TI4C|T54K
5869/TAT/HO/09/2022|TI4C|THC0
5869/TAT/HO/09/2022|TI4C|FT56
5869/TAT/HO/09/2022|TI4C|THC1
5869/TAT/HO/09/2022|TI4C|THC2
5869/TAT/HO/09/2022|TI4C|T67K
5869/TAT/HO/09/2022|TI4C|TB07
5869/TAT/HO/09/2022|TI4C|FT18
5869/TAT/HO/09/2022|TI4C|TB28
5869/TAT/HO/09/2022|TI4C|TB29
5869/TAT/HO/09/2022|TI4C|TB49
5869/TAT/HO/09/2022|TI4C|TTSL
5869/TAT/HO/09/2022|TI4C|TB52
5869/TAT/HO/09/2022|TI4C|TB55
5869/TAT/HO/09/2022|TI4C|TB69
5869/TAT/HO/09/2022|TI4C|TB70
5869/TAT/HO/09/2022|TI4C|TB71
5869/TAT/HO/09/2022|TI4C|TQ03
5869/TAT/HO/09/2022|TI4C|TSCT
5869/TAT/HO/09/2022|TI4C|T01B
5869/TAT/HO/09/2022|TI4C|T02B
