TAT_ID|KD_PLU|TGL_AWAL|TGL_AKHIR|FLAGPROD
5960/TAT/HO/09/2022|20093922|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20093923|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20093924|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20093925|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20093926|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20093927|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097227|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097229|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097230|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097232|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097233|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097235|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097236|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097237|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097238|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097239|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097240|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097241|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097244|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097245|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20097246|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098304|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098305|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098306|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098307|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098308|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098596|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098597|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098600|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098601|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098602|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20098603|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20099538|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20099539|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20100057|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20100060|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20100061|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20100062|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20100065|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20100066|22/09/2022|30/09/2022|HBS=Y
