PLU|DC|WILAYAH|FLAGPROD|MINOR|TIPE_GDG
10001826|G097|MDO||8|
10001881|G097|MDO||1|
10001934|G097|MDO||1|
10002047|G097|MDO|TBO=N|1|
10002101|G097|MDO|TBO=N|16|
10002141|G097|MDO||1|
10002246|G097|MDO|TBO=Y|2|
10002258|G097|MDO||1|
10002307|G097|MDO|TBO=N|2|
10002349|G097|MDO|TBO=Y|1|
10002350|G097|MDO||3|
10002532|G097|MDO|BAP=Y|1000|
10002560|G097|MDO|TBO=N|40|
10002564|G097|MDO||1|
10002565|G097|MDO||1|
10002595|G097|MDO|TBO=N|5|
10002602|G097|MDO||10|
10002619|G097|MDO|BAP=Y|1000|
10002676|G097|MDO||1|
10002753|G097|MDO||1|
10002765|G097|MDO||2|
10002766|G097|MDO||1|
10002767|G097|MDO||1|
10002768|G097|MDO||1|
10002788|G097|MDO||1|
10002789|G097|MDO||1|
10002825|G097|MDO||0|
10002835|G097|MDO||1|
10002862|G097|MDO||14|
10002893|G097|MDO||1|
10002894|G097|MDO||1|
10002898|G097|MDO|TBO=N|1|
10002915|G097|MDO||1|
10002941|G097|MDO||3|
10002944|G097|MDO||12|
10002962|G097|MDO||2|
10002965|G097|MDO||2|
10002971|G097|MDO|TBO=N|2|
10002978|G097|MDO||1|
10002983|G097|MDO||1|
10002988|G097|MDO||1|
10002989|G097|MDO||1|
10003018|G097|MDO||1|
10003037|G097|MDO||2|C
10003061|G097|MDO||1|
10003074|G097|MDO||1|
10003091|G097|MDO|TBO=N|1|
10003093|G097|MDO||0|
10003097|G097|MDO||3|
10003098|G097|MDO||1|
10003111|G097|MDO||1|
10003144|G097|MDO||2|
10003163|G097|MDO||1|
10003164|G097|MDO||1|
10003222|G097|MDO|BAP=Y|1000|
10003272|G097|MDO||1|
10003303|G097|MDO|TBO=N|2|
10003320|G097|MDO|BAP=Y|1|
10003321|G097|MDO|BAP=Y|1000|
10003324|G097|MDO||1|
10003325|G097|MDO||1|
10003333|G097|MDO||0|
10003334|G097|MDO||0|
10003336|G097|MDO||1|
10003337|G097|MDO||1|
10003340|G097|MDO||1|
10003359|G097|MDO||1|
10003362|G097|MDO||1|
10003369|G097|MDO||1|
10003372|G097|MDO||8|
10003373|G097|MDO||24|
10003374|G097|MDO|TBO=Y|40|
10003381|G097|MDO||1|
10003383|G097|MDO||1|
10003389|G097|MDO||24|
10003391|G097|MDO||2|
10003404|G097|MDO||2|
10003411|G097|MDO|TBO=Y|24|
10003412|G097|MDO|TBO=N|24|
10003413|G097|MDO||12|
10003414|G097|MDO|TBO=N|24|
10003419|G097|MDO||1|C
10003421|G097|MDO|TBO=Y|24|
10003422|G097|MDO||1|
10003424|G097|MDO||2|
10003426|G097|MDO||24|
10003427|G097|MDO||2|
10003434|G097|MDO||2|
10003435|G097|MDO||40|
10003441|G097|MDO||1|
10003453|G097|MDO||1|
10003457|G097|MDO|TBO=N|6|
10003469|G097|MDO|TBO=N|1|
10003470|G097|MDO||0|
10003476|G097|MDO||1|
10003478|G097|MDO|TBO=Y|1|
10003479|G097|MDO||2|
10003481|G097|MDO||1|
10003485|G097|MDO||10|
10003491|G097|MDO||1|
10003498|G097|MDO||1|
10003503|G097|MDO||2|
10003507|G097|MDO|TBO=Y|1|
10003511|G097|MDO||1|
10003514|G097|MDO|TBO=N|4|
10003517|G097|MDO|TBO=N|40|
10003519|G097|MDO||1|
10003520|G097|MDO||1|
10003530|G097|MDO||2|
10003550|G097|MDO||1|
10003569|G097|MDO|TBO=N|2|
10003580|G097|MDO||1|
10003616|G097|MDO|TBO=N|2|
10003627|G097|MDO||6|
10003645|G097|MDO||1|
10003646|G097|MDO||1|
10003650|G097|MDO|TBO=N|4|
10003653|G097|MDO||1|
10003682|G097|MDO|TBO=N|1|
10003683|G097|MDO|TBO=N|1|
10003696|G097|MDO||1|
10003697|G097|MDO||2|
10003706|G097|MDO||1|
10003707|G097|MDO||1|
10003722|G097|MDO||0|
10003730|G097|MDO||1|
10003752|G097|MDO|BAP=Y|1000|
10003795|G097|MDO|BAP=Y|20|
10003799|G097|MDO||1|
