PLU|PLU_KNV|WEIGHT|MIN_FRUIT|MAX_FRUIT
20072833|20054820|300|2|3
20072833|20054821|300|2|3
20072833|20054823|300|2|3
20072833|20059985|300|2|3
20072833|20059986|300|2|3
20089506|20054820|300|2|4
20089506|20059986|300|2|4
20089506|20059985|300|2|4
20089506|20054823|300|2|4
20123581|20092998|300|2|3
20123581|20093001|300|2|3
20123581|20093002|300|2|3
