07,03,526051,313200.00,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCA DEBIT MSTRCRD PSPR PLT/PRI,,BCA DEBIT MSTRCRD PSPR PLT/PRI,B01,,0,,0,,,,,'',0.00,0.00,0.00,''
07,04,530795,427300.00,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCA DEBIT MASTERCARD PSPR GOLD,,BCA DEBIT MASTERCARD PSPR GOLD,B01,,0,,0,,,,,'',0.00,0.00,0.00,''
07,05,537941,658600.00,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCA DEBIT PSPR SILV THPN XPRES,,BCA DEBIT PSPR SILV THPN XPRES,B01,,0,,0,,,,,'',0.00,0.00,0.00,''
07,06,601900,28500.00,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCA PASPOR/SOLITAIRE,,BCA PASPOR/SOLITAIRE,B01,,0,,0,,,,,'',0.00,0.00,0.00,''
07,07,6019007,129200.00,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCA DEBIT GPN,,BCA DEBIT GPN,B01,,0,,0,,,,,'',0.00,0.00,0.00,''
07,08,6019009,29800.00,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCA PLATINUM DEBIT GPN,,BCA PLATINUM DEBIT GPN,B01,,0,,0,,,,,'',0.00,0.00,0.00,''
07,09,603298,62900.00,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEBIT MDR GPN,,DEBIT MDR GPN,B02,,0,,0,,,,,'',0.00,0.00,0.00,''
07,10,522184,45400.00,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BANK BRI,,BANK BRI,B03,,0,,0,,,,,'',0.00,0.00,0.00,''
07,11,557692,19600.00,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIMB NIAGA DEBIT MASTERCARD,,CIMB NIAGA DEBIT MASTERCARD,B03,,0,,0,,,,,'',0.00,0.00,0.00,''
07,12,601301,186200.00,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRI DEBIT,,BRI DEBIT,B03,,0,,0,,,,,'',0.00,0.00,0.00,''
07,13,519893,60000.00,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BNI MASTER DEBIT,,BNI MASTER DEBIT,B12,,0,,0,,,,,'',0.00,0.00,0.00,''
07,14,000063,48200.00,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I.SAKU,,I.SAKU,BAA,,0,,0,,,,,'',0.00,0.00,0.00,''
07,15,000163,121700.00,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FBK I.SAKU,,FBK I.SAKU,BAC,,0,,0,,,,,'',0.00,0.00,0.00,''
07,16,000164,13000.00,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SHOPEEPAY,,SHOPEEPAY,BAC,,0,,0,,,,,'',0.00,0.00,0.00,''
